date	time	username	to	replies	retweets	favorites	text	mentions	hashtags	id	permalink	processed_text	sentences_tone	document_tones	sadness	confident	joy	analytical	anger	tentative	fear
2020-05-18	06:04:02	kusi1956	ndtv	0	0	2	Will he promote Gomutra therapy to combat Covid 19?? #Ghanta20LakhCrore		#Ghanta20LakhCrore	1262262649900933121	https://twitter.com/kusi1956/status/1262262649900933121	promote gomutra therapy combat covid ghanta20lakhcrore		[]							
2020-05-18	08:21:29	moneyshmalekar	ashish_jadhao	0	0	0	This is just to divert attention of people from the real problem facing maha corona deaths r increasing but these guys busy with PR of MVA must say this channel has become den of traders @ZeeNews @subhashchandra we are frustrated with u	@ZeeNews @subhashchandra		1262297242024595458	https://twitter.com/moneyshmalekar/status/1262297242024595458	divert attention people real problem facing maha corona death r increasing guy busy pr mva must say channel become den trader USER_MENTION USER_MENTION frustrated u		[{'score': 0.731246, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.525926, 'tone_id': 'confident', 'tone_name': 'Confident'}]	1.0	1.0					
2020-05-18	08:23:48	McReemi		1	0	2	What Do Countries With The Best Coronavirus Responses Have In Common? Women Leaders (Forbes Magazine) 			1262297823837650944	https://twitter.com/McReemi/status/1262297823837650944	country best coronavirus response common woman leader forbes magazine		[{'score': 0.556811, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.901894, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]			1.0	1.0			
2020-05-18	08:39:26	smilefoundation		0	1	4	Tribal migrants from #Chhattisgarh have been living without adequate food, clean water &amp; basic #healthcare or livelihood opportunities for a long time. The dry ration kit distribution will get them through the #lockdown without starving. https://bit.ly/2XH181c #IndiaShares		#Chhattisgarh #healthcare #lockdown #IndiaShares	1262301757301854208	https://twitter.com/smilefoundation/status/1262301757301854208	tribal migrant chhattisgarh living without adequate food clean water basic healthcare livelihood opportunity long time dry ration kit distribution get lockdown without starving URL indiashares		[]							
2020-05-18	08:40:10	AnandUpadhya_	PiyushGoyal	0	0	7	Many thanks to PM @narendramodi ji and RM @PiyushGoyal ji for running special trains to help our people. These smiles spread positive vibes and uplift the morale in these unprecedented time. #lockdown 	@narendramodi @PiyushGoyal	#lockdown	1262301944565170176	https://twitter.com/AnandUpadhya_/status/1262301944565170176	many thanks pm USER_MENTION ji rm USER_MENTION ji running special train help people smile spread positive vibe uplift morale unprecedented time lockdown		[{'score': 0.886589, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.579436, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0	1.0				
2020-05-18	08:40:44	Drsaianamika	ncaer	0	0	1	India trying to understand the alcohol-economy relationship, especially given the chaos over liquor in the #Covid_19 lockdown. As revenues collected from alcohol sales don’t qualify under GST, each state and UT holds exclusive powers in designing state-specific excise rates. 		#Covid_19	1262302085598584832	https://twitter.com/Drsaianamika/status/1262302085598584832	india trying understand alcoholeconomy relationship especially given chaos liquor covid_19 lockdown revenue collected alcohol sale qualify gst state ut hold exclusive power designing statespecific excise rate		[{'score': 0.752532, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-05-18	08:48:56	debashis_bapun	HFWOdisha	0	0	1	Finally Bhubaneswar is now corona free #salutecoronawarriors #Odishafightbackcorona #Bbsrcoronafree #BhubaneswarCoronaFree		#salutecoronawarriors #Odishafightbackcorona #Bbsrcoronafree #BhubaneswarCoronaFree	1262304150609629185	https://twitter.com/debashis_bapun/status/1262304150609629185	finally bhubaneswar corona free salutecoronawarriors odishafightbackcorona bbsrcoronafree bhubaneswarcoronafree		[{'score': 0.915993, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]			1.0	1.0			
2020-05-18	08:57:16	SRFoundation7		0	0	1	May Allah cure the virus to everyone who battling this illness #COVID__19 #Dohastate		#COVID__19 #Dohastate	1262306249091231745	https://twitter.com/SRFoundation7/status/1262306249091231745	may allah cure virus everyone battling illness covid__19 dohastate		[{'score': 0.514246, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.856622, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]	1.0					1.0	
2020-05-18	08:57:40	ranji131978	sardesairajdeep	0	0	2	You need to do a program like Election on my plate it can be like corona on my plate. It will help you to understand the ground reality of the top South Indian states ,			1262306349519495174	https://twitter.com/ranji131978/status/1262306349519495174	need program like election plate like corona plate help understand ground reality top south indian state		[{'score': 0.691514, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.664451, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]	1.0			1.0			
2020-05-18	09:40:34	mshossainbge		0	0	0	Coronavirus: #Bangladesh sees sharpest spike in deaths, cases. New cases: 1602, new death: 21. #BangladeshFightsCorona		#Bangladesh #BangladeshFightsCorona	1262317142545846272	https://twitter.com/mshossainbge/status/1262317142545846272	coronavirus bangladesh see sharpest spike death case new case new death bangladeshfightscorona		[{'score': 0.675163, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]	1.0			1.0			
2020-05-18	09:45:08	AmeenLhan	The_jaber_khan	0	0	2	Promote in next year cause of corona. We can't take risk 			1262318292137639937	https://twitter.com/AmeenLhan/status/1262318292137639937	promote next year cause corona cant take risk		[{'score': 0.762356, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-05-18	10:01:20	dinesh_gosar	thakur_shivangi	0	0	0	No guidelines by MVA GOVT about lockdown 4 so people confused about This lockdown if govt given any guidelines ABOUT lockdown so all shops office's open mistake by Govt Not share guidelines of lockdown 4 today all formalities completed by government so tomorrow given guidelines			1262322370385047552	https://twitter.com/dinesh_gosar/status/1262322370385047552	guideline mva govt lockdown people confused lockdown govt given guideline lockdown shop office open mistake govt share guideline lockdown today formality completed government tomorrow given guideline		[{'score': 0.72356, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]	1.0						
2020-05-18	10:28:04	RabiaYousuf1		0	0	1	All those “parhay likhe jahil” saying #COVID19 is just a virus which will go like any viral even if you are tested positive please be aware that there are multiple articles saying whoever catches the virus, their immunity does go down. Even after being recovered, it’s lethal! 		#COVID19	1262329095897206784	https://twitter.com/RabiaYousuf1/status/1262329095897206784	likhe saying covid19 virus go like viral even tested positive please aware multiple article saying whoever catch virus immunity go even recovered lethal		[{'score': 0.576522, 'tone_id': 'fear', 'tone_name': 'Fear'}, {'score': 0.63698, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]						1.0	1.0
2020-05-18	10:32:15	Aiyasrashid		0	1	3	Alhamdulillah after 9 days, finally I and @Mursal4Kashmir received the report for the test of COVID-19 and it has been declared negative. @dcganderbal @shafqatiqbal_ @SSPGANDERBAL – at Clock Tower	@Mursal4Kashmir @dcganderbal @shafqatiqbal_ @SSPGANDERBAL		1262330148478767114	https://twitter.com/Aiyasrashid/status/1262330148478767114	alhamdulillah day finally USER_MENTION received report test covid19 declared negative USER_MENTION USER_MENTION USER_MENTION clock tower		[{'score': 0.683022, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.842108, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]			1.0	1.0			
2020-05-18	10:39:17	NeerjaAnand	deep_pritam	0	4	6	@NitishKumar @yadavtejashwi Bihar govt has proven to be one of the worst administrations and most insensitive in India during COVID . Your officers lack the apathy of the govt..... 	@NitishKumar @yadavtejashwi		1262331921205354497	https://twitter.com/NeerjaAnand/status/1262331921205354497	USER_MENTION USER_MENTION bihar govt proven one worst administration insensitive india covid officer lack apathy govt		[{'score': 0.619909, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.781949, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]	1.0			1.0			
2020-05-18	10:44:48	BearinSiam	JournoStephen	0	0	0	Just when will #nippy and the nats actually do something positive. The continual constitutional sabre rattling Stephen mentions makes it appear that indy trancends even Covid-19. 		#nippy	1262333308525936640	https://twitter.com/BearinSiam/status/1262333308525936640	nippy nats actually something positive continual constitutional sabre rattling stephen mention make appear indy trancends even covid19		[{'score': 0.603135, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.58393, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]			1.0			1.0	
2020-05-18	11:13:03	brajesh_harwani		0	0	0	In the midst of the Corona crisis, the biggest demand is that India should become self-sufficient. There is no other way to deal with future crises. #मंदसौर_जीतेगा_कोरोना_हारेगा			1262340416248176641	https://twitter.com/brajesh_harwani/status/1262340416248176641	midst corona crisis biggest demand india become selfsufficient way deal future crisis		[]							
2020-05-18	11:28:54	niludebnath		0	0	0	Please refund my ticket amount in my bank account . this is a lockdown period . It's not my fault . please take action @DGCAIndia	@DGCAIndia		1262344407237267457	https://twitter.com/niludebnath/status/1262344407237267457	please refund ticket amount bank account lockdown period fault please take action USER_MENTION		[{'score': 0.509368, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0					
2020-05-18	12:23:05	josephspurgeon		0	0	2	Covid - 19 Help for the pastors and Widows @AMCAL1 @Creflo_Dollar @TaffiDollar @TeamGivingCom	@AMCAL1 @Creflo_Dollar @TaffiDollar @TeamGivingCom		1262358043678797824	https://twitter.com/josephspurgeon/status/1262358043678797824	covid help pastor widow USER_MENTION USER_MENTION USER_MENTION USER_MENTION		[]							
2020-05-18	12:38:35	shivi_bole		0	0	0	With 5 new positive cases of #COVID19 reported in Hamirpur district today, total positive cases in Himachal Pradesh rise to 85. Active cases in the state rise to 37: Nipun Jindal, Special Secretary Health #HimachalPradesh		#COVID19 #HimachalPradesh	1262361943760928768	https://twitter.com/shivi_bole/status/1262361943760928768	new positive case covid19 reported hamirpur district today total positive case himachal pradesh rise active case state rise nipun jindal special secretary health himachalpradesh		[{'score': 0.75804, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.890087, 'tone_id': 'confident', 'tone_name': 'Confident'}, {'score': 0.620279, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]		1.0	1.0	1.0			
2020-05-18	13:05:26	rohitksharma86	GauravPandhi	0	0	0	What if the lockdown start in a phased manner instead of this like company event.			1262368700134494208	https://twitter.com/rohitksharma86/status/1262368700134494208	lockdown start phased manner instead like company event		[{'score': 0.506763, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.615352, 'tone_id': 'tentative', 'tone_name': 'Tentative'}]				1.0		1.0	
2020-05-18	13:08:28	owaizafifa		0	0	0	@XpressBengaluru lockdown 4.0 people running to home this is below photo major Sandip unni Krishnan rd, i hope Bengaluru middle class people's pain @DKShivakumar @hd_kumaraswamy mr yediyurappa yellappa idiya @BSYBJP no work no food – at ICBio	@XpressBengaluru @DKShivakumar @hd_kumaraswamy @BSYBJP		1262369461916413952	https://twitter.com/owaizafifa/status/1262369461916413952	USER_MENTION lockdown people running home photo major sandip unni krishnan rd hope bengaluru middle class people pain USER_MENTION USER_MENTION mr yediyurappa yellappa idiya USER_MENTION work food icbio		[{'score': 0.531318, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]	1.0						
2020-05-18	13:13:32	amitrajneelam		0	0	1	Mohali covid status Two more patients recover Only two active cases left in the city 			1262370740478734338	https://twitter.com/amitrajneelam/status/1262370740478734338	mohali covid status two patient recover two active case left city		[]							
2020-05-18	13:41:28	sankoch_gaur	RAJ22616287	0	0	3	There should be quick arrangement for all migrant otherwise corona will increases in gematric way, all lockdown will go waste @myogiadityanath @dm_ghaziabad @SspGhaziabad	@myogiadityanath @dm_ghaziabad @SspGhaziabad		1262377767829680128	https://twitter.com/sankoch_gaur/status/1262377767829680128	quick arrangement migrant otherwise corona increase gematric way lockdown go waste USER_MENTION USER_MENTION USER_MENTION		[]							
2020-05-18	13:49:35	Amit27655077	realDonaldTrump	0	0	0	China country own one belt one route drems project with started corona virus evil spread project,all world 220 country face a economy problem and huge loss of life, china country one belt one route,south China sea route area valley of corona blockage making by construction co. 			1262379812305453056	https://twitter.com/Amit27655077/status/1262379812305453056	china country one belt one route drems project started corona virus evil spread world country face economy problem huge loss life china country one belt one china sea route area valley corona blockage making construction co		[{'score': 0.53323, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.817662, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]	1.0			1.0			
2020-05-18	14:10:06	Kaila_arvind	Kaila_arvind	0	0	0	It pays to look inwards at times. IMO , setting the house in order internally shud flow in sync with modern development of outward green field expansion The former never warranted more importance till this pandemic gave us all a wake call Better be late than never JaiHind 			1262384972356374528	https://twitter.com/Kaila_arvind/status/1262384972356374528	pay look inwards time imo setting house order internally shud flow sync modern development outward green field expansion former never warranted importance till pandemic gave u wake call better late never jaihind		[{'score': 0.581723, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
2020-05-18	14:55:27	7LivesManyFaces	TheRadFactor	0	0	0	How are you maam ? How is lockdown 4.0 going on ?			1262396384977850382	https://twitter.com/7LivesManyFaces/status/1262396384977850382	maam lockdown going		[]							
2020-05-18	14:58:14	LaLaMuneer33		1	18	21	Proactive measures against #COVID19: #SindhGovt has established a Field Isolation Hospital in NawabShah, Shaheed Benazirabad, Sindh. #ThankYouSindhGovt		#COVID19 #SindhGovt #ThankYouSindhGovt	1262397087406309377	https://twitter.com/LaLaMuneer33/status/1262397087406309377	proactive measure covid19 sindhgovt established field isolation hospital nawabshah shaheed benazirabad sindh thankyousindhgovt		[{'score': 0.920855, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-05-18	15:37:12	Shariq39127938	sambitswaraj	0	0	0	Kindly attend corona patients, country needs your services.			1262406893391265793	https://twitter.com/Shariq39127938/status/1262406893391265793	kindly attend corona patient country need service		[]							
2020-05-18	16:21:42	_dhingrakaran		1	0	1	Well, that’s the scene in now. We just crossed a total of 1 lac confirmed cases. What’s next? India is yet to reach its peak. Sadly, the time ahead doesn’t look bright enough. #Covid_19india #CoronaUpdatesInIndia #CoronaUpdates #coronavirusindia #CoronaVirusUpdate #Lockdown4		#Covid_19india #CoronaUpdatesInIndia #CoronaUpdates #coronavirusindia #CoronaVirusUpdate #Lockdown4	1262418091914321920	https://twitter.com/_dhingrakaran/status/1262418091914321920	well scene crossed total lac confirmed case next india yet reach peak sadly time ahead look bright enough covid_19india coronaupdatesinindia coronaupdates coronavirusindia coronavirusupdate lockdown4		[{'score': 0.734478, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-05-18	16:57:46	Richard48919347		0	0	2	Cyber attacks amid Cyclones/T/storms vs Corona pandemic. 			1262427167666966539	https://twitter.com/Richard48919347/status/1262427167666966539	cyber attack amid v corona pandemic		[]							
2020-05-18	17:22:19	TanmayNarvekar2	MumbaiPolice	0	0	0	When we are expecting to get the instructions on what is active in lockdown 4, also whether domestic help is active or not because Central Gvt have given green signal for the same.			1262433346891767809	https://twitter.com/TanmayNarvekar2/status/1262433346891767809	expecting get instruction active lockdown also whether domestic help active central gvt given green signal		[{'score': 0.687768, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-05-18	17:30:25	ChandniGarg3		1	0	0	Covid 19 continues to change our lives,it would be good to increase the number of taxpayers in the country. Lessen the tax exempted citizens by reducing the earnings exemption to Rs.300000 p.a..			1262435384765505536	https://twitter.com/ChandniGarg3/status/1262435384765505536	covid continues change would good increase number taxpayer country lessen tax exempted citizen reducing earnings exemption rs.300 p.a		[]							
2020-05-18	17:48:06	mr_aman_gupta		0	0	1	My family watches ZEE NEWS at 9 PM. DNA is the only show we see concurrently. I want to say thank you #ZeeWarriors, @sudhirchaudhary on behalf of my whole family. Our good wishes are with you in this phenomenal situation of Pandemic. Keep fighting against all odds.	@sudhirchaudhary	#ZeeWarriors	1262439834410344449	https://twitter.com/mr_aman_gupta/status/1262439834410344449	family watch zee news pm dna show see concurrently want say thank zeewarriors USER_MENTION behalf whole family good wish phenomenal situation pandemic keep fighting odds		[{'score': 0.694336, 'tone_id': 'joy', 'tone_name': 'Joy'}]			1.0				
2020-05-18	17:53:13	kasim_raj		0	1	0	28 corona virus cases are from 'single source' I hope authorities completely seal Zee building, put entire staff along with Sudhir Chaudhary under quarantine, to prevent further spread of the virus. Rule should be the same for everyone. #ZeeNewsSealKaro		#ZeeNewsSealKaro	1262441125366751233	https://twitter.com/kasim_raj/status/1262441125366751233	corona virus case single source hope authority completely seal zee building put entire staff along sudhir chaudhary quarantine prevent spread virus rule everyone zeenewssealkaro		[{'score': 0.519909, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-05-18	18:29:36	Prajapati7890		0	0	2	I & my family always voted #BJP and we will but my question is to @CMOGuj @vijayrupanibjp &amp; it is that if @vnehra sir fails to controlled Covid 19 then do you not think that as a leader you also failed ? Even US president Trump fails, it doesn't meaning that he's not capable	@CMOGuj @vijayrupanibjp @vnehra	#BJP	1262450279775166466	https://twitter.com/Prajapati7890/status/1262450279775166466	family always voted bjp question USER_MENTION USER_MENTION USER_MENTION sir fails controlled covid think leader also failed even u president trump fails doesnt meaning he capable		[{'score': 0.577799, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.74948, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]	1.0			1.0			
2020-05-18	19:52:56	najirpatel1985	sudhirchaudhary	0	10	7	#ZeeNewsSealKaro It's a clear cut case of intentionally spreading corona virus in India. Demanding immediate actions against channel n all employees @DGPMaharashtra @OfficeofUT They must never be allowed tow or for any news channels in future as this was most issresponsible.	@DGPMaharashtra @OfficeofUT	#ZeeNewsSealKaro	1262471251878121473	https://twitter.com/najirpatel1985/status/1262471251878121473	zeenewssealkaro clear cut case intentionally spreading corona virus india demanding immediate action channel n employee USER_MENTION USER_MENTION must never allowed tow news channel future issresponsible		[{'score': 0.764826, 'tone_id': 'analytical', 'tone_name': 'Analytical'}, {'score': 0.631106, 'tone_id': 'confident', 'tone_name': 'Confident'}]		1.0		1.0			
2020-05-19	00:28:16	Voleti5	sudhirchaudhary	0	0	1	Abey sudhirbwa @sudhirchaudhary this is public platform not your studio. You can't edit or change script as you wish. Don't drag it further. Just accept the system failure at @ZeeNews. It is evident, you want to spread the pandemic &amp; to push it on to some other community person. 	@sudhirchaudhary @ZeeNews		1262540541088202758	https://twitter.com/Voleti5/status/1262540541088202758	abey sudhirbwa USER_MENTION public platform studio cant edit change script wish dont drag accept system failure USER_MENTION evident want spread pandemic push community person		[{'score': 0.577322, 'tone_id': 'sadness', 'tone_name': 'Sadness'}, {'score': 0.543112, 'tone_id': 'confident', 'tone_name': 'Confident'}]	1.0	1.0					
2020-05-19	02:31:32	subbureddyy		0	0	0	MHA order directing companies to pay full wages to employees during lockdown withdrawn - 			1262571563037016064	https://twitter.com/subbureddyy/status/1262571563037016064	mha order directing company pay full wage employee lockdown withdrawn		[]							
2020-05-19	02:39:42	akbarwalikhan7		0	0	0	Zee News staff members flouted lockdown rules. #AntiNationalSudhirChaudhary		#AntiNationalSudhirChaudhary	1262573618921271296	https://twitter.com/akbarwalikhan7/status/1262573618921271296	zee news staff member flouted lockdown rule antinationalsudhirchaudhary		[{'score': 0.610552, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]				1.0			
2020-05-19	03:05:32	Profkhalid	BillGates	0	0	2	COVID-19 and how we can stem the tide, but I’m also often asked about what I am reading and watching. Here are my 2020 summer book, Bill Gates? THE BIGGEST LEAVES OF LIFE FROM COVID-19 IN LAST 40 YEARS, QUITE USEFUL TO SEE &amp; REALISE MANY OWN UNSEEN. LOTS OF IMPROVEMENT IN LIFE. 			1262580118201028619	https://twitter.com/Profkhalid/status/1262580118201028619	covid19 stem tide also often asked reading watching summer book bill gate biggest leaf life covid19 last year quite useful see realise many unseen lot improvement life		[{'score': 0.706538, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.5538, 'tone_id': 'tentative', 'tone_name': 'Tentative'}, {'score': 0.574477, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]			1.0	1.0		1.0	
2020-05-19	04:53:19	Satish_Singh15		0	8	8	I would like to welcome back the OC of Bowbazar, Inspector Sidhartha Chakraborthy as he rejoins service after recovering from COVID-19. No words are enough to express my gratitude towards the service of WB's police personnel in our fight against #COVID19 #BanglaKorbeJoyNischoi		#COVID19 #BanglaKorbeJoyNischoi	1262607241779113984	https://twitter.com/Satish_Singh15/status/1262607241779113984	would like welcome back oc bowbazar inspector sidhartha chakraborthy rejoins service recovering covid19 word enough express gratitude towards service wb police personnel fight covid19 banglakorbejoynischoi		[]							
2020-05-19	06:48:31	viky_vij	25rubybaruah	0	0	1	He is 80+ ..thats why Modiji did not made him minister & thats why he is here today & expose himself to deadly corona virus. These type of people are ready to die for sake of modi haters. He should put under quarantine. 			1262636233139748864	https://twitter.com/viky_vij/status/1262636233139748864	thats modiji made minister thats today expose deadly corona virus type people ready die sake modi hater put quarantine		[{'score': 0.544312, 'tone_id': 'sadness', 'tone_name': 'Sadness'}]	1.0						
2020-05-19	07:33:07	anuragbatrayo		0	1	3	Catch Arjun Ranga, Managing Partner, NR Group and MD-Cycle Pure Agarbathies in conversation with Dr Annurag Editor in Chief, e4m & BW Businessworld on Wed 20th May 2020 at 3pm as they discuss 'Keeping The Faith Alive Amidst Covid-19'. Register Now on https://bit.ly/2LwZdoC			1262647458863046656	https://twitter.com/anuragbatrayo/status/1262647458863046656	catch arjun ranga managing partner nr group mdcycle pure agarbathies conversation dr annurag editor chief e4m bw businessworld wed may discus keeping faith alive amidst covid19 register URL		[{'score': 0.70114, 'tone_id': 'joy', 'tone_name': 'Joy'}, {'score': 0.560098, 'tone_id': 'analytical', 'tone_name': 'Analytical'}]			1.0	1.0			
